key,value,date
TECH,1548,9/1/07
TECH,1593,9/1/08
TECH,1638,9/1/09
TECH,1682,9/1/10
TECH,1736,9/1/11
TECH,1739,9/1/12
TECH,1762,9/1/13
TECH,1721,9/1/14
TECH,1778,9/1/15
TECH,1785,9/1/16
FINE ARTS,921,9/1/07
FINE ARTS,968,9/1/08
FINE ARTS,955,9/1/09
FINE ARTS,980,9/1/10
FINE ARTS,955,9/1/11
FINE ARTS,886,9/1/12
FINE ARTS,892,9/1/13
FINE ARTS,835,9/1/14
FINE ARTS,843,9/1/15
FINE ARTS,889,9/1/16
LIBER ART,1061,9/1/07
LIBER ART,1067,9/1/08
LIBER ART,1064,9/1/09
LIBER ART,1111,9/1/10
LIBER ART,1148,9/1/11
LIBER ART,1158,9/1/12
LIBER ART,1434,9/1/13
LIBER ART,1150,9/1/14
LIBER ART,1186,9/1/15
LIBER ART,1201,9/1/16
BUSINESS,450,9/1/07
BUSINESS,428,9/1/08
BUSINESS,385,9/1/09
BUSINESS,341,9/1/10
BUSINESS,354,9/1/11
BUSINESS,363,9/1/12
BUSINESS,379,9/1/13
BUSINESS,408,9/1/14
BUSINESS,460,9/1/15
BUSINESS,516,9/1/16
COMP SCI,553,9/1/07
COMP SCI,581,9/1/08
COMP SCI,574,9/1/09
COMP SCI,563,9/1/10
COMP SCI,573,9/1/11
COMP SCI,587,9/1/12
COMP SCI,603,9/1/13
COMP SCI,621,9/1/14
COMP SCI,583,9/1/15
COMP SCI,627,9/1/16
SCI,704,9/1/07
SCI,689,9/1/08
SCI,716,9/1/09
SCI,745,9/1/10
SCI,715,9/1/11
SCI,732,9/1/12
SCI,755,9/1/13
SCI,726,9/1/14
SCI,743,9/1/15
SCI,776,9/1/16
ENT,244,9/1/07
ENT,283,9/1/08
ENT,287,9/1/09
ENT,270,9/1/10
ENT,260,9/1/11
ENT,244,9/1/12
ENT,209,9/1/13
ENT,226,9/1/14
ENT,244,9/1/15
ENT,247,9/1/16
